Ukazatel;2026-03-31;2025-12-31;2025-09-30;2025-06-30;2025-03-31;2024-12-31;2024-09-30;2024-06-30;2024-03-31;2023-12-31;2023-09-30;2023-06-30;2023-03-31;2022-12-31;2022-09-30;2022-06-30;2022-03-31;2021-12-31;2021-09-30;2021-06-30;2021-03-31;2020-12-31;2020-09-30;2020-06-30;2020-03-31;2019-12-31;2019-09-30;2019-06-30;2019-03-31;2018-12-31;2018-09-30;2018-06-30;2018-03-31;2017-12-31;2017-09-30;2017-06-30;2017-03-31;2016-12-31;2016-09-30;2016-06-30;2016-03-31;2015-12-31;2015-09-30;2015-06-30;2015-03-31;2014-12-31;2014-09-30;2014-06-30;2014-03-31;2013-12-31;2013-09-30;2013-06-30;2013-03-31;2012-12-31;2012-09-30;2012-06-30;2012-03-31;2011-12-31;2011-09-30;2011-06-30;2011-03-31;2010-12-31;2010-09-30;2010-06-30;2010-03-31;2009-12-31;2009-09-30;2009-06-30;2009-03-31;2008-12-31;2008-09-30;2008-06-30;2008-03-31;2007-12-31;2007-09-30;2007-06-30;2007-03-31;2006-12-31;2006-09-30;2006-06-30;2006-03-31;2005-12-31;2005-09-30;2005-06-30;2005-03-31;2004-12-31;2004-09-30;2004-06-30;2004-03-31;2003-12-31;2003-09-30;2003-06-30;2003-03-31;2002-12-31;2002-09-30;2002-06-30;2002-03-31;2001-12-31;2001-09-30;2001-06-30;2001-03-31;2000-12-31;2000-09-30;2000-06-30;2000-03-31;1999-12-31;1999-09-30;1999-06-30;1999-03-31;1998-12-31;1998-09-30;1998-06-30;1998-03-31;1997-12-31;1997-09-30;1997-06-30;1997-03-31;
Celkem;5028714.8;4911713.3;4800957.6;4762260.4;4643174;4589263.4;4524051.4;4459855.7;4427661.2;4356505.4;4289618.4;4205778.3;4117070.8;4071672.6;4064439.8;3958144.9;3925405.5;3847750.1;3777207.1;3701656.6;3760529.3;3595599.2;3619168.7;3580495.3;3586974.4;3450508.8;3464122.7;3397558;3356361;3306411;3327772.8;3232790.3;3164841.1;3085491.7;3148773.9;3081003.3;3041122.2;2950384.4;2949191.4;2886850.2;2835444.3;2782377.7;2773963.8;2705252.8;2653472.6;2634879.9;2577504.1;2561689.9;2519068.3;2514321.3;2449432.2;2424528.4;2409516.1;2360046.2;2346840.5;2343299.5;2304396.7;2304307.7;2257379.8;2211549;2179796.6;2174740.1;2138555.1;2120340.5;2087871.5;2102088.5;2091291.4;2091427.5;2078753.1;2075687.4;2029352.9;1938541;1831829.3;1783987.7;1686236.6;1591205;1471881.8;1413083.5;1346467.3;1290042.9;1223928.2;1178670.4;1147319;1095985.2;1048425.9;1010309.2;998526.1;975914.9;957293.7;950765.9;919496.6;903816.3;890890.3;892371;880050.9;886498.5;908121.8;942102.7;979832;1068343.4;1079691.9;1050408.2;1078300.4;1063532.9;1069939;1075220.3;1133528.6;1151893.2;1152039.1;1119999.7;1134019.9;1140814.8;1125621.6;1121854.5;1087868.6;1093867.9;1047347.3;
    Rezidenti;4604971.4;4501946.9;4397250.5;4355826.6;4255187.3;4184384.2;4134093.1;4072252.4;4022019.6;3966140.3;3923871.4;3855776.1;3767868.2;3727179.1;3729226.1;3635141.2;3604758.1;3528403.1;3457101.2;3375771.8;3424636.6;3249939.6;3280856.8;3236643.9;3240044.3;3130678.6;3134859.4;3088815.1;3039057.8;2981219.2;3015346;2934619.1;2868401.9;2789504.7;2840613.5;2773917.8;2718921.1;2631827;2634175.2;2566332.2;2512304.4;2461483.2;2461485.9;2391859.7;2330879;2312923.2;2266999.4;2261933.7;2227409.5;2227230.4;2188945.3;2163899.7;2169486;2147762.3;2136053.2;2133941.7;2109583.9;2107430;2081254.4;2051070.9;2019852.8;2007812.7;1981289.4;1958659.6;1940015.9;1952988.7;1948832.1;1946179.4;1932577.8;1926553.3;1889933.6;1810318.9;1710470.4;1668895.4;1578122.9;1486807.9;1388850.1;1338650.3;1272027.6;1216987.1;1155045.2;1118659.2;1077195;1035567.2;995012.3;969194.2;954857.2;932012.1;913250.4;907461.3;879330.9;865757.5;850424.9;850467.5;841202;848405.8;862973.3;895276.1;904379.6;983851.5;993692.6;974964.2;1002667.1;982262;989793.8;988593;1030644.8;1049223.5;1060102.3;1042379.3;1080380.7;1089049.9;1092709.1;1095226.8;1067949.3;1072854.6;1032461.1;
        Nefinanční podniky;1551653;1502547.6;1474308.3;1477260.4;1447507.9;1429225.9;1432849.7;1395176.2;1391155;1358087.2;1341289;1301699.5;1257244;1237122;1277914.3;1221079.7;1222451.1;1188318;1184378.1;1133677.9;1136322.2;1123033.9;1161726.6;1155801.1;1163993.3;1119903.7;1135164.7;1102314.1;1093737.2;1080265.6;1098924.3;1064985.6;1029828.6;1021968.5;1043224.3;1022442.7;1004567.3;975613.1;999597.5;966662.5;959291.5;920898.5;943789.7;906353.3;883897.5;874660;851857.3;865107.6;858949.3;867141.5;850308;841139.7;854214.7;835373.3;844376.4;839889.4;832168.7;828054.5;825653.6;810883.4;791504;780424.5;775906.6;769169.1;774094.4;782184.5;802665.9;815456.3;833241.4;848068.4;842439.1;805193.1;760869.5;743380;736770.1;696992.1;652879.3;634875.6;607365.3;581819.9;546752.8;525350.3;521098.5;501226.4;482385.4;459502.1;466145;441100.7;435345.1;428317.5;425332.7;426241.4;437629.6;433882.6;445097.6;463096.1;499843.8;530941.9;578113.5;696273.7;703657.7;726002.5;759295.2;734460.3;738495.7;786580.2;829211.7;835632.9;859535.6;846369.1;883421.2;894809.8;904115.4;908837.2;893124.8;894199.7;859329.5;
        Finanční instituce;337776.8;335507.7;324272.5;342145.8;322568.8;314239;304055.8;314677.9;302753.4;299534;295048.3;283816.7;291392.9;283994.4;263249.8;257443.7;240131.6;234784;220794.1;218434.2;223556.1;210527;237884.2;232475.2;258301.6;213367.5;234552.1;250900.9;238056.6;206292.3;253927.9;242288.2;243956.5;193281.9;248453.5;233212;228593.6;188272.3;194592.8;188194.9;165417;158703.2;152018.8;139741.6;144627.2;148717;133982.6;132190.9;124236.4;119740.4;118450.8;118127.1;118378.6;116362.8;111706.7;115071.9;114768.5;117011.1;115395.5;115251.1;115152.3;118433.4;113948.9;123987.5;117380.1;129812.8;136888.9;148628.3;146514.9;150832.1;158405.5;158926.9;145040.6;147117.9;123247.9;114709.9;104794.5;99754;98654.7;97320.1;97106.6;96931.8;92915.9;88639.7;81520.6;81126.1;78597;85287.3;80931.6;83000.4;74588.3;73319.7;63152.5;67437.6;59801.7;56198.5;65266.4;60441.2;54190.7;70565.6;72085.8;71342.5;69953.2;90137.2;94957.4;55936.1;57648.2;71273.4;59643.6;59645.6;63549.8;62106.8;56290;58183.9;57031.4;60030;60069.3;
        Vládní instituce ;76842.5;83595.3;76070;74471;73800;62235.4;59837.4;59967.3;61542.6;63183.6;62446.2;63781.8;60237.1;62016.4;63861.3;57028.2;57409.4;58589.6;57640.4;84419;174824.1;53957.1;53146.4;54531.5;49502.5;49327.5;46161;45047;45031.6;48817.7;47064.4;43189.6;43643.6;44369.2;48135.6;44425.8;44514.7;48088.7;50184.4;50951.2;55692.5;58224.5;65490.1;67175.8;63518;59126.6;66253.9;66049.2;58335.8;57546.1;59580.8;58434.5;62926.5;61501.6;60215.8;68967.2;61605.9;64192.8;61274.7;61133.2;63546.7;64886.9;63998.2;64944.8;64570.7;66240.6;58726.4;56394.6;53349.5;54278.9;53277.5;52853.6;53553.9;57481.6;61176;63012.9;63654.9;67630;67717.1;72955.9;76678.5;81463.2;85126;92847.2;104695.8;114877;125337.2;138977.2;150926.6;158730.6;165376.8;165377.2;159351;167733.9;169907.5;172521.1;149814.5;160747;142622.8;65564.7;72410.6;53803.8;55598.3;43455;39269.8;32969.5;30877.3;30800.9;31570.3;28309.2;25473.2;23555.9;19971.1;16258.1;11253.3;13220.8;5269.6;
        Domácnosti;2633014.6;2575201.7;2517805.2;2457291.9;2407290.5;2374817.5;2333416.2;2298374;2262795;2242000.5;2221866.4;2203292.5;2156069.4;2141067.8;2121241.9;2096322.5;2081319.1;2043390.3;1990690.6;1935693.4;1886283.3;1858689.9;1824895.6;1790769.1;1765106;1745031.5;1715809.5;1687471.6;1659007.8;1642671.9;1612223.1;1581153;1548301.5;1527231.6;1498052.8;1471213.3;1438691;1417425.1;1387878.1;1358600.4;1329745.7;1321352.5;1297956.7;1276338.9;1236355;1228406.5;1212912.7;1196711.9;1183993.5;1180730.9;1158800.7;1144552.8;1132211.7;1132230.8;1117360.5;1107192.9;1098240.7;1095243.6;1075976.8;1060884.5;1033663.1;1028141.4;1012767;986538.6;970484.5;940482.9;919246.7;896598.1;870809.1;851470.4;818449.2;778051.3;737358.9;707819.5;646825.8;604246.6;561271.1;530804.8;494409.5;462228.8;432481;412895.3;376501.7;351603.4;324500.3;311836.7;283118.3;264852.1;244394.6;235568;212103.5;198850.1;187518.3;178621.9;164257.4;154205.3;144971.8;139181.7;123486;134883.5;127809.4;122519.3;116488.9;112967.2;116053.1;112218.2;111873.4;110445.3;108317;107085.5;106417.2;106955.3;110597;110443.9;105002.7;104208.1;106174.3;
            Živnosti;56655.2;56126.9;54662.4;53138.9;51180.3;50412.2;49644.2;48848.3;47783.1;47551.7;47528.3;47105.8;45945.4;46584.5;47034.1;46540;47262.4;47641.2;47299.2;46868.5;46671.5;47008.1;46668.4;45830.5;45881.8;45987.1;45248.4;44518.2;42797.6;42541.5;42125.5;41847.7;40677.5;40267.6;39347.8;38201.1;36710.6;36571.6;36197.9;35612.2;34822.1;35037.9;35185.6;35632;34746.7;35049.2;35596;35794.6;35702.6;36504.4;36358.6;36138.2;35081.3;36131;37307;37278.4;37267.6;38026.7;38914.6;39646.4;39797.9;40238.7;41266.3;41756.2;42033;42519;43433;43396.2;42682.3;43112.7;42830.9;41858.3;40029.8;39058.5;39352.7;38945.2;37876.7;35922.7;36424;34867.2;33584.4;33360.8;31156.3;30025.1;28560.9;28529.7;26402;25215.8;23403.4;24677.6;20957.2;22730;22317.4;21552.4;20776.1;20370.2;20909.5;22849.3;19003.6;29780.8;29787.5;27476.1;29227.6;29599.4;36797.4;34884;40497.3;42552.8;43137.5;44010.9;48603.1;52541.7;59912.3;60653.6;61182.5;60431.9;63292.2;
            Obyvatelstvo;2527459.3;2469953.7;2415459.1;2357177.3;2309346.8;2277204.8;2237283.8;2203497.7;2168893;2147607;2127830;2109858.7;2063870.3;2047481.6;2027594.4;2003313.3;1987301.8;1948112.4;1895961;1841621.5;1792110.3;1763145.2;1730068.1;1696934.9;1671147.9;1650089.7;1621711.6;1594307;1567329.6;1550470.6;1520829.2;1490318.9;1458503.1;1437013.6;1409077.8;1383542;1352217.5;1330291.1;1301518.1;1272838.8;1244398;1234878.1;1211675.9;1189727.4;1150329.2;1141546.8;1125694.5;1109418.3;1096808.7;1092361.3;1071390.3;1057897.9;1046523.7;1044982.3;1030080.2;1020840.4;1012511.7;1008965.1;992598.4;979698.8;966236.2;960780.6;947054;921991.1;906678.1;897963.9;875813.7;853201.9;828126.8;808357.7;775618.2;736193;697329.1;668761;607473.2;565301.4;523394.4;494882.1;457985.5;427361.5;398896.6;379534.5;345345.3;321578.3;295939.4;283307;256716.4;239636.4;220991.2;210890.5;191146.4;176120.2;165200.9;157069.5;143481.2;133835.2;124062.3;116332.4;104482.4;105102.7;98021.9;95043.3;87261.3;83367.7;79255.8;77334.2;71376.1;67892.5;65179.5;63074.6;57814.1;54413.6;50684.7;49790.3;43820.2;43776.2;42882.1;
            Ostatní domácnosti - SVJ;48900.1;49121;47683.8;46975.7;46763.5;47200.4;46488.2;46027.9;46118.9;46841.9;46508.1;46328;46253.7;47001.7;46613.4;46469.3;46754.9;47636.7;47430.4;47203.4;47501.5;48536.6;48159.1;48003.7;48076.5;48954.7;48849.5;48646.2;48880.5;49659.8;49268.4;48986.4;49121;49950.4;49627.2;49470.2;49762.8;50562.4;50162;50149.4;50525.6;51436.5;51095.2;50979.5;51279.1;51810.5;51622.3;51499;51482.3;51865.3;51051.8;50516.7;50606.7;51117.4;49973.4;49074.1;48461.4;48251.6;44463.7;41539.2;27629;27122;24446.6;22791.4;21773.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Neziskové instituce sloužící domácnostem ;5684.5;5094.6;4794.4;4657.5;4020.1;3866.4;3934;4057;3773.6;3335;3221.6;3185.5;2924.9;2978.5;2958.8;3267;3447;3321.1;3598;3547.2;3650.9;3731.6;3204.1;3067;3140.9;3048.4;3172.2;3081.6;3224.7;3171.8;3206.4;3002.6;2671.7;2653.3;2747.3;2623.9;2554.6;2428;1922.5;1923.1;2157.8;2304.6;2230.6;2250.2;2481.3;2013.2;1993;1874.1;1894.5;2071.5;1805;1645.6;1754.4;2293.9;2393.8;2820.3;2800.1;2928.1;2953.8;2918.8;15986.6;15926.5;14668.8;14019.7;13486.1;34267.9;31304.3;29101.9;28662.8;21903.4;17362.4;15294;13647.6;13096.4;10103.2;7846.4;6250.2;5586.1;3880.9;2662.6;2026.2;2018.5;1553;1250.7;1910.3;1852.4;1659.6;1794.8;1652.5;1844.9;1929.8;1969.3;2773.6;2791.7;2137.9;2384.8;3076.9;3964.3;5966.6;16564.1;17729.2;1296.1;1331.6;1242.5;1017.9;888.9;1034.1;1071;1035.6;969.6;1519.2;1622.2;1735.6;1503.8;1537.2;1196;1618.4;
