Období;Zpráva o měnové politice - jaro 2026: základní scénář * Úrokové sazby na finančním trhu: Úrokový diferenciál 3M PRIBOR CZK - 3M EURIBOR EUR, Míra v %, Procenta, Denní * (p. b.);
2026-03-31;1.49;
2025-12-31;1.49;
2025-09-30;1.48;
2025-06-30;1.55;
2025-03-31;1.38;
2024-12-31;1.21;
2024-09-30;0.92;
2023-06-30;3.55;
2023-03-31;4.14;
2022-09-30;6.08;
2022-06-30;7.43;
2022-03-31;5.52;
2021-12-31;4.65;
2021-09-30;1.79;
2021-06-30;1.2;
2021-03-31;0.9;
2020-12-31;0.91;
2020-09-30;0.85;
2020-06-30;0.76;
2020-03-31;1.39;
2019-12-31;2.56;
2019-09-30;2.58;
2018-12-31;2.32;
2017-06-30;0.63;
2017-03-31;0.61;
2016-09-30;0.59;
2016-06-30;0.58;
2016-03-31;0.53;
2015-12-31;0.42;
2015-09-30;0.33;
2015-06-30;0.32;
2015-03-31;0.29;
2014-12-31;0.26;
2014-09-30;0.27;
2014-06-30;0.14;
2014-03-31;0.06;
2013-12-31;0.09;
2013-09-30;0.23;
2012-12-31;0.31;
2011-09-30;-0.37;
2011-06-30;-0.37;
2011-03-31;-0.01;
2010-12-31;0.21;
2010-09-30;0.32;
2010-06-30;0.46;
2010-03-31;0.81;
2009-12-31;0.84;
2009-09-30;1.16;
2009-06-30;0.99;
2009-03-31;0.93;
2008-12-31;0.74;
2008-09-30;-1.3;
2008-06-30;-0.73;
2008-03-31;-0.63;
2007-12-31;-0.57;
2006-06-30;-0.82;
2006-03-31;-0.73;
2005-09-30;-0.38;
2005-06-30;-0.37;
2005-03-31;-0.09;
